category_id,category_name,source,source_url,last_verified
TRIFED-01,Metal Craft,TRIFED Official,https://trifed.tribal.gov.in/en/retail-market/product-category,2026-08-26
TRIFED-02,Tribal Textile,TRIFED Official,https://trifed.tribal.gov.in/en/retail-market/product-category,2026-08-26
TRIFED-03,Tribal Jewellery,TRIFED Official,https://trifed.tribal.gov.in/en/retail-market/product-category,2026-08-26
TRIFED-04,Tribal Painting,TRIFED Official,https://trifed.tribal.gov.in/en/retail-market/product-category,2026-08-26
TRIFED-05,Cane & Bamboo,TRIFED Official,https://trifed.tribal.gov.in/en/retail-market/product-category,2026-08-26
TRIFED-06,Terracotta & Stone Pottery,TRIFED Official,https://trifed.tribal.gov.in/en/retail-market/product-category,2026-08-26
TRIFED-07,Gift & Novelties,TRIFED Official,https://trifed.tribal.gov.in/en/retail-market/product-category,2026-08-26
TRIFED-08,Organic & Natural Food Products,TRIFED Official,https://trifed.tribal.gov.in/en/retail-market/product-category,2026-08-26
